Date,Portfolio_Dollar_Value
2021-05-12,1452238.160663513
2021-05-13,1477990.0721565138
2021-05-14,1503980.5850031325
2021-05-17,1502956.4499250818
2021-05-18,1484932.2210090999
2021-05-19,1477670.5896336238
2021-05-20,1485482.2705249349
2021-05-21,1487408.356185353
2021-05-24,1497546.1737803589
2021-05-25,1489982.9232001961
2021-05-26,1498458.1162630713
2021-05-27,1509287.7569175907
2021-05-28,1511346.7715416932
2021-06-01,1520891.5708637796
2021-06-02,1515045.9406019538
2021-06-03,1513732.2120782346
2021-06-04,1518402.2659463286
2021-06-07,1516008.4122303254
2021-06-08,1519594.6487136844
2021-06-09,1508513.19490103
2021-06-10,1507241.7413638392
2021-06-11,1512688.2664941265
2021-06-14,1506509.107285207
2021-06-15,1509202.8031380454
2021-06-16,1499547.5278923705
2021-06-17,1478130.912439416
2021-06-18,1449053.1838336494
2021-06-21,1480481.0868478615
2021-06-22,1482173.8604201777
2021-06-23,1482132.37524593
2021-06-24,1496772.1334194192
2021-06-25,1503071.1434098587
2021-06-28,1493138.3423056433
2021-06-29,1488398.617710692
2021-06-30,1494916.1010644226
2021-07-01,1499881.4981889885
2021-07-02,1502934.9554132319
2021-07-06,1486127.6657486204
2021-07-07,1484445.1823327527
2021-07-08,1470455.254919682
2021-07-09,1498725.450763856
2021-07-12,1507319.4908003628
2021-07-13,1492163.3033873236
2021-07-14,1489008.7719209509
2021-07-15,1485548.370268125
2021-07-16,1469260.8617427202
2021-07-19,1440630.7179968986
2021-07-20,1472039.9013404953
2021-07-21,1495372.2607137375
2021-07-22,1485980.4139338543
2021-07-23,1498418.3043117037
2021-07-26,1507627.0126799436
2021-07-27,1503470.2198976374
2021-07-28,1506798.346161706
2021-07-29,1518116.3177990203
2021-07-30,1519547.4125431033
2021-08-02,1515068.978384763
2021-08-03,1532678.0222103028
2021-08-04,1517174.2402040772
2021-08-05,1528204.3842416087
2021-08-06,1537166.1481740254
2021-08-09,1532126.8475701695
2021-08-10,1543618.1122859025
2021-08-11,1555524.8478630101
2021-08-12,1555948.324548923
2021-08-13,1552097.6032851767
2021-08-16,1550972.7308914396
2021-08-17,1534453.924099341
2021-08-18,1519933.1707977757
2021-08-19,1512800.3048891271
2021-08-20,1520981.7205620187
2021-08-23,1537177.7527691042
2021-08-24,1546285.4720099927
2021-08-25,1559417.0164520887
2021-08-26,1546075.63680212
2021-08-27,1566588.4840829237
2021-08-30,1558826.1595115336
2021-08-31,1558203.7023783731
2021-09-01,1554188.7619742132
2021-09-02,1568975.799808153
2021-09-03,1564782.143476586
2021-09-07,1550147.1230265594
2021-09-08,1545264.525692581
2021-09-09,1544172.7534650106
2021-09-10,1533751.6599896657
2021-09-13,1543196.5021479996
2021-09-14,1531653.786811843
2021-09-15,1547375.524559126
2021-09-16,1542783.6861426942
2021-09-17,1530736.961588003
2021-09-20,1503105.64264861
2021-09-21,1500571.89559027
2021-09-22,1522165.1051656827
2021-09-23,1548395.4632356982
2021-09-24,1547757.4251098873
2021-09-27,1554539.343215328
2021-09-28,1529600.397514714
2021-09-29,1531420.9697115503
2021-09-30,1504546.8579223256
2021-10-01,1524607.4470848076
2021-10-04,1512688.628748009
2021-10-05,1523752.993634762
2021-10-06,1520776.6905885357
2021-10-07,1535924.1913071028
2021-10-08,1534458.4602175548
2021-10-11,1526804.6818140585
2021-10-12,1529982.380138304
2021-10-13,1531093.844670751
2021-10-14,1560700.909638354
2021-10-15,1567661.0905487067
2021-10-18,1568277.3031695087
2021-10-19,1571141.2956414057
2021-10-20,1582738.7783384405
2021-10-21,1583924.7328028947
2021-10-22,1591031.853845933
2021-10-25,1599223.658514077
2021-10-26,1594115.793351805
2021-10-27,1569395.608585226
2021-10-28,1593831.6610375587
2021-10-29,1589713.3561043858
2021-11-01,1596156.4850690125
2021-11-02,1604886.7575819609
2021-11-03,1616228.8692464852
2021-11-04,1618983.2241971747
2021-11-05,1634263.169915933
2021-11-08,1637160.6736505881
2021-11-09,1637326.268459417
2021-11-10,1623002.1587299064
2021-11-11,1632866.3417561701
2021-11-12,1641458.1323517407
2021-11-15,1645039.6003114602
2021-11-16,1646217.8515758275
2021-11-17,1634223.3443669393
2021-11-18,1631012.9205101505
2021-11-19,1622729.5399290584
2021-11-22,1622242.6871014314
2021-11-23,1634564.6879979495
2021-11-24,1631647.1016978428
2021-11-26,1583496.810599106
2021-11-29,1598669.0952850855
2021-11-30,1550626.2531263765
2021-12-01,1533772.313864788
2021-12-02,1572631.2787679264
2021-12-03,1560967.201771917
2021-12-06,1587172.8870701988
2021-12-07,1618252.6745300672
2021-12-08,1619255.492168494
2021-12-09,1604377.9858643042
2021-12-10,1615021.5434874487
2021-12-13,1592505.8661098806
2021-12-14,1582781.9977570514
2021-12-15,1601585.3449389348
2021-12-16,1591386.5110018689
2021-12-17,1567892.554952494
2021-12-20,1542956.2026376037
2021-12-21,1578397.4634339323
2021-12-22,1589677.2445416213
2021-12-23,1602184.9378939187
2021-12-27,1625917.501303925
2021-12-28,1625789.214233706
2021-12-29,1631482.2260488335
2021-12-30,1626933.7003087774
2021-12-31,1629348.0533924021
2022-01-03,1632734.7142308988
2022-01-04,1651395.640183278
2022-01-05,1621684.6831007367
2022-01-06,1629715.2962406543
2022-01-07,1622615.4877992661
2022-01-10,1612774.3427987604
2022-01-11,1630544.089632043
2022-01-12,1634351.2260348825
2022-01-13,1628516.499007188
2022-01-14,1629454.389051994
2022-01-18,1599216.3587260265
2022-01-19,1576670.5697654372
2022-01-20,1557464.1152179772
2022-01-21,1534102.4530583932
2022-01-24,1550109.1703728195
2022-01-25,1532149.7780336027
2022-01-26,1524644.9851698612
2022-01-27,1514052.0536805883
2022-01-28,1534860.5966515183
2022-01-31,1559035.3263505504
2022-02-01,1573642.5478878857
2022-02-02,1588740.4876276443
2022-02-03,1563042.1659226427
2022-02-04,1558565.8326560946
2022-02-07,1554751.982600016
2022-02-08,1568423.8847108877
2022-02-09,1597749.7436265696
2022-02-10,1576513.048850688
2022-02-11,1552546.8894788357
2022-02-14,1540466.8905395675
2022-02-15,1572699.8962598615
2022-02-16,1583456.1912651106
2022-02-17,1547870.5497961482
2022-02-18,1542717.340744048
2022-02-22,1525379.364047735
2022-02-23,1499154.0473489247
2022-02-24,1515413.1286943024
2022-02-25,1554089.260088417
2022-02-28,1546272.3343029968
2022-03-01,1512907.6450642142
2022-03-02,1553389.435890401
2022-03-03,1552711.3400143941
2022-03-04,1533886.5996880196
2022-03-07,1480028.7993822906
2022-03-08,1486333.3301285768
2022-03-09,1527560.1861085785
2022-03-10,1528438.1688526564
2022-03-11,1511109.5689310601
2022-03-14,1507067.707362901
2022-03-15,1531253.4809053023
2022-03-16,1562731.626201021
2022-03-17,1583109.4185524934
2022-03-18,1592832.9481007364
2022-03-21,1587964.2293986
2022-03-22,1601385.6191350883
2022-03-23,1580542.6277854329
2022-03-24,1603184.3337997799
2022-03-25,1616863.3289093433
2022-03-28,1618255.7342682483
2022-03-29,1644381.6758368618
2022-03-30,1628734.8289909025
2022-03-31,1603898.6088540475
2022-04-01,1605321.6454629262
2022-04-04,1608689.5429757556
2022-04-05,1586711.3893932323
2022-04-06,1581035.0653935398
2022-04-07,1586856.5183620264
2022-04-08,1592686.342932884
2022-04-11,1576927.3284168444
2022-04-12,1575340.94276526
2022-04-13,1593788.873335223
2022-04-14,1585332.9963744543
2022-04-18,1588930.9459971234
2022-04-19,1617320.6300651256
2022-04-20,1624654.9740834995
2022-04-21,1597252.3544436847
2022-04-22,1551355.287168277
2022-04-25,1554096.4048368952
2022-04-26,1518099.5106631615
2022-04-27,1518516.5987409463
2022-04-28,1551793.256415737
2022-04-29,1500914.7957445444
2022-05-02,1502133.9533565624
2022-05-03,1516806.7729500544
2022-05-04,1559034.8544594867
2022-05-05,1509668.4403268076
2022-05-06,1500125.545244613
2022-05-09,1448013.8140856149
2022-05-10,1443770.942178389
2022-05-11,1431028.6231627255
2022-05-12,1438417.3290240797
2022-05-13,1472590.811522802
2022-05-16,1468784.9146259273
2022-05-17,1498918.745315515
2022-05-18,1436388.5335962065
2022-05-19,1430903.8713272219
2022-05-20,1427271.6667449183
2022-05-23,1454964.15226484
2022-05-24,1443945.2910406634
2022-05-25,1467450.1203703568
2022-05-26,1502941.060902997
2022-05-27,1541740.8224555696
2022-05-31,1524453.968928099
2022-06-01,1511406.1174986286
2022-06-02,1539991.1086072337
2022-06-03,1526809.754793641
2022-06-06,1532045.6495428013
2022-06-07,1550357.360879582
2022-06-08,1531229.3315207975
2022-06-09,1497515.4238641385
2022-06-10,1452090.0806760052
2022-06-13,1395177.7058880287
2022-06-14,1390972.146914666
2022-06-15,1406694.057585651
2022-06-16,1351424.266097306
2022-06-17,1354368.4216381193
2022-06-21,1376595.4354042078
2022-06-22,1368912.9358124186
2022-06-23,1375082.1870255768
2022-06-24,1419879.2264231935
2022-06-27,1417501.9843079578
2022-06-28,1399725.1288446216
2022-06-29,1385409.459598125
2022-06-30,1378241.4568069675
2022-07-01,1388092.2171512996
2022-07-05,1382162.6522748645
2022-07-06,1378844.3839511152
2022-07-07,1406009.2027949195
2022-07-08,1400226.7396038799
2022-07-11,1389905.626388736
2022-07-12,1379853.748758893
2022-07-13,1371373.5453207337
2022-07-14,1360446.6429928734
2022-07-15,1383255.1857190456
2022-07-18,1378674.1353531908
2022-07-19,1421116.1534687546
2022-07-20,1428971.7141340047
2022-07-21,1438167.1793945376
2022-07-22,1428830.404668085
2022-07-25,1437508.3826477781
2022-07-26,1423220.221804105
2022-07-27,1452661.2466054568
2022-07-28,1473629.2340339588
2022-07-29,1486628.4835082467
2022-08-01,1480854.4153168856
2022-08-02,1470026.2141145556
2022-08-03,1481898.0870398183
2022-08-04,1472940.5490643634
2022-08-05,1479974.001920604
2022-08-08,1484422.1015380402
2022-08-09,1474439.4835788924
2022-08-10,1510233.6029395156
2022-08-11,1521938.564388594
2022-08-12,1544956.0503516055
2022-08-15,1546668.639803565
2022-08-16,1553016.6522389944
2022-08-17,1540861.805367109
2022-08-18,1547772.9946281365
2022-08-19,1528131.9931246284
2022-08-22,1497656.103650379
2022-08-23,1498424.8331539626
2022-08-24,1509714.299165729
2022-08-25,1533337.350837514
2022-08-26,1487598.281305052
2022-08-29,1480702.7819762214
2022-08-30,1463004.3041119848
2022-08-31,1453172.7389119125
2022-09-01,1454107.4109899793
2022-09-02,1446138.5346994738
2022-09-06,1439949.7920126442
2022-09-07,1472012.650108858
2022-09-08,1485131.9851598942
2022-09-09,1509118.173306495
2022-09-12,1523348.8855292108
2022-09-13,1462779.7117399366
2022-09-14,1469141.1824561676
2022-09-15,1455643.4500941
2022-09-16,1440645.2380315806
2022-09-19,1452612.5167307889
2022-09-20,1429502.9824015603
2022-09-21,1404331.2534791066
2022-09-22,1383999.2926517623
