Date,Portfolio_PnL
2023-02-24,-8881.42258182913
2023-02-27,4209.950847239699
2023-02-28,-5119.982849425869
2023-03-01,-2186.1872029730584
2023-03-02,12802.803644892294
2023-03-03,20751.57995775924
2023-03-06,-7393.137564710807
2023-03-07,-22707.67922599311
2023-03-08,1902.2070777940098
2023-03-09,-34663.66323692771
2023-03-10,-28915.192375070183
2023-03-13,-20829.54623762332
2023-03-14,20625.010125019588
2023-03-15,-29634.334760478465
2023-03-16,24083.99255920155
2023-03-17,-28708.817014373373
2023-03-20,19779.670486988965
2023-03-21,24259.523382067913
2023-03-22,-29964.243295866763
2023-03-23,-3333.6485449755564
2023-03-24,6421.16065950715
2023-03-27,7515.469756693346
2023-03-28,7809.982204787899
2023-03-29,20868.965864997124
2023-03-30,8733.10924867331
2023-03-31,22682.549132793676
2023-04-03,5474.299337504199
2023-04-04,-20116.61643453734
2023-04-05,-10517.242896139156
2023-04-06,649.3113159521017
2023-04-10,10699.938876825618
2023-04-11,6750.694238510216
2023-04-12,-4763.936348201241
2023-04-13,12468.727891535033
2023-04-14,-3227.966855054954
2023-04-17,6102.418698581867
2023-04-18,3928.3083973552566
2023-04-19,1710.1803503974807
2023-04-20,-5259.203449853696
2023-04-21,-4195.118839443661
2023-04-24,8435.979561249726
2023-04-25,-27463.688902072143
2023-04-26,-16493.103585043456
2023-04-27,28895.374838903546
2023-04-28,15600.139028336387
2023-05-01,-1572.9173731042538
2023-05-02,-22272.187912670895
2023-05-03,-8029.766141754575
2023-05-04,-17617.825206646463
2023-05-05,30803.176662825514
2023-05-08,-2517.749166222755
2023-05-09,-2550.427058515139
2023-05-10,-1901.5893341680057
2023-05-11,-152.50265459669754
2023-05-12,1087.4285591456573
2023-05-15,12401.256500943564
2023-05-16,-18862.851519054966
2023-05-17,22655.249322526623
2023-05-18,17584.422576145735
2023-05-19,-5211.836771751754
2023-05-22,-2481.472842503572
2023-05-23,-18211.892231723294
2023-05-24,-18570.242227276787
2023-05-25,8405.164879789343
2023-05-26,7222.574975816999
2023-05-30,-4345.4060405255295
2023-05-31,-15753.155828875257
2023-06-01,10549.999705706723
2023-06-02,42876.83107669535
2023-06-05,-5801.952357106144
2023-06-06,14487.64006736828
2023-06-07,11105.08699569595
2023-06-08,2901.6480446758214
2023-06-09,-3323.2264722476248
2023-06-12,5484.55475082132
2023-06-13,16084.19696367206
2023-06-14,-3468.9922670824453
2023-06-15,15216.743664211128
2023-06-16,-7573.260321084643
2023-06-20,-10744.516322253272
2023-06-21,2045.4259950646665
2023-06-22,-4103.4734942638315
2023-06-23,-11851.595366416033
2023-06-26,11211.270873225993
2023-06-27,21445.72090976918
2023-06-28,-3171.972199362004
2023-06-29,11773.616735577583
2023-06-30,14248.361821190221
2023-07-03,4853.541280237958
2023-07-05,-9386.695464432472
2023-07-06,-14652.628856465686
2023-07-07,4627.725061103702
2023-07-10,17592.573510480113
2023-07-11,16694.450091883773
2023-07-12,4664.076172966743
2023-07-13,10966.9470041967
2023-07-14,-9830.63850961742
2023-07-17,6224.335905127926
